dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
0000_7670,Saint Roman Parish School,42.96719098,-87.93713002,Private School,"1810 W Bolivar Ave, Milwaukee, WI 53221",1,TRUE
0000_1947,Saint Rose,43.03648899,-87.95220697,Private School,"514 N 31st St, Milwaukee, WI 53208",1,TRUE
0000_7720,Saint Sebastian School,43.05407397,-87.98107635,Private School,"1747 N 54th St, Milwaukee, WI 53208",1,
0000_7980,Saint Thomas Aquinas Academy,42.97159198,-87.905603,Private School,"341 E Norwich St, Milwaukee, WI 53207",1,TRUE
0000_3160,Saint Vincent Pallotti Catholic School,43.03344058,-88.00744199,Private School,"201 N 76th St, Milwaukee, WI 53213",1,
0000_8075,Salam School,42.95893401,-87.92995796,Private School,"4707 S 13th St, Milwaukee, WI 53221",1,
0000_8080,Salem Evangelical Lutheran School,43.14177701,-88.04386501,Private School,"6810 N 107th St, Milwaukee, WI 53224",1,
8001_8121,Seeds of Health Elementary Program,43.01601301,-87.95452699,Public Charter School,"1445 S 32nd St, Milwaukee, WI 53215",1,TRUE
0000_1704,Shining Star Christian Schools Inc,43.09104198,-88.03111404,Private School,"4050 N 95th St, Milwaukee, WI 53222",1,
0000_8217,Siloah Lutheran School,43.08510701,-87.93876801,Private School,"3721 N 21st St, Milwaukee, WI 53206",1,
8027_8136,Stellar Collegiate Charter School,43.000558,-87.925262,Public Charter School,"2431 S 10th St, Milwaukee, WI 53215",1,
0000_1048,Tamarack Waldorf School,43.05319002,-87.89712504,Private School,"1150 E Brady St, Milwaukee, WI 53202",1,
8001_8115,Tenor High,43.042049,-87.91561996,Public Charter School,"918 Vel R Phillips Ave, Milwaukee, WI 53203",1,TRUE
0000_1776,The City School,43.17518799,-88.00340799,Private School,"8684 N 76th Pl, Milwaukee, WI 53223",1,
0000_8379,Torah Academy of Milwaukee,43.14125599,-87.93285801,Private School,"6800 N Green Bay Ave, Glendale, WI 53209",1,
8003_8137,United Community Center Acosta Middle School,43.02045701,-87.91800101,Public Charter School,"1038 S 6th Street, Milwaukee, WI 53204",1,TRUE
0000_1868,Universal Scholars Academy,43.06093498,-87.98036497,Private School,"5310 W North Ave, Milwaukee, WI 53208",1,
0000_1909,Up Christian Academy Inc,43.094906,-87.94307597,Private School,"2433 W Roosevelt Dr, Milwaukee, WI 53209",1,
8001_8124,Veritas High,42.98819402,-87.95276302,Public Charter School,"3025 W Oklahoma Ave, Milwaukee, WI 53215",1,TRUE
0000_1796,Victory Christian Academy,42.99255998,-87.92479404,Private School,"2840 S 10th St, Milwaukee, WI 53215",1,
0000_8705,Wisconsin Institute for Torah Study,43.07741502,-87.87025601,Private School,"3288 N Lake Dr, Milwaukee, WI 53211",1,
0000_8720,Wisconsin Lutheran High School,43.03179465,-88.0170851,Private School,"330 N Glenview Ave, Milwaukee, WI 53213",1,TRUE
8004_8113,Woodlands School,43.03710498,-87.98289496,Public Charter School,"5510 W Bluemound Rd, Milwaukee, WI 53208",1,
8004_8132,Woodlands School - State Street Campus,43.04285501,-87.95370297,Public Charter School,"3121 W State St, Milwaukee, WI 53208",1,
0000_8740,Yeshiva Elementary School,43.08228,-87.97772701,Private School,"5115 W Keefe Ave, Milwaukee, WI 53216",1,
8010_8110,21st Century Preparatory School,42.72912699,-87.79615999,Public Charter School,"1220 Mound Ave, Racine, WI 53404",0,
0000_1300,Abundant Life Christian School,43.07146898,-89.29822302,Private School,"4901 E Buckeye Rd, Madison, WI 53716",0,
8022_8148,Adeline Montessori School Inc,43.022016,-88.44401899,Public Charter School,"995 S Sawyer Rd, Oconomowoc, WI 53066",0,
0000_1294,All Saints Grade School,44.34873201,-87.83476703,Private School,"145 N St Claude St, Denmark, WI 54208",0,
0000_0857,Aquinas Academy,43.147858,-88.108551,Private School,"N72W15935 Good Hope Rd, Menomonee Falls, WI 53051",0,
0000_0071,Aquinas High,43.80815701,-91.23996499,Private School,"315 11th St South, La Crosse, WI 54601",0,
0000_0070,Aquinas Middle,43.80815701,-91.23996499,Private School,"315 11th St South, La Crosse, WI 54601",0,
0000_1894,Ascension Academy Inc,45.525161,-92.03227796,Private School,"825 8th Ave, Cumberland, WI 54828",0,
0000_1307,Assumption High School,44.38437601,-89.82547499,Private School,"445 Chestnut St, Wisconsin Rapids, WI 54494",0,
0000_1198,Assumption Middle School,44.38437601,-89.82547499,Private School,"440 Mead St, Wisconsin Rapids, WI 54494",0,
0000_0090,Assumption of the Blessed Virgin Mary School,44.67343701,-88.24199501,Private School,"109 E Pulaski St, Pulaski, WI 54162",0,
0000_1791,Bader Hillel High Inc,43.14680599,-87.94010098,Private School,"2315 W Good Hope Rd, Glendale, WI 53209",0,
0000_0105,Badger State Baptist School,42.889952,-87.93349898,Private School,"8519 S 13th St, Oak Creek, WI 53154",0,
0000_0120,Bay City Christian School,44.54140502,-88.06664803,Private School,"1840 Bond St, Green Bay, WI 54303",0,
0000_1115,Beautiful Savior Lutheran School,42.991154,-88.22636703,Private School,"1205 S East Ave, Waukesha, WI 53186",0,
0000_0135,Bethany Evangelical Lutheran School,44.09466802,-87.68811298,Private School,"3209 Meadow Ln, Manitowoc, WI 54220",0,
0000_0160,Bethany Lutheran School,43.34903399,-88.60155401,Private School,"280 N Ridge St, Hustisford, WI 53034",0,
0000_1367,Bethlehem Evangelical Lutheran School,43.2145795,-88.0871981,Private School,"N108W14290 Bel Aire Ln, Germantown, WI 53022",0,
0000_0210,Bethlehem Evangelical Lutheran School,43.17057698,-88.09930803,Private School,"N84W15252 Menomonee Ave, Menomonee Falls, WI 53051",0,
0000_0230,Bethlehem Lutheran School,43.73962699,-87.718906,Private School,"1121 Georgia Ave, Sheboygan, WI 53081",0,
0000_1299,Blessed Sacrament Elementary,43.80969299,-91.21998404,Private School,"2404 King St, La Crosse, WI 54601",0,
0000_5890,Burlington Catholic School,42.67595432,-88.28077844,Private School,"225 W State St, Burlington, WI 53105",0,
0000_0268,Calvary Baptist Christian School,43.179733,-88.75152202,Private School,"792 Milford St, Watertown, WI 53094",0,
0000_0305,Cathedral Elementary,43.80606698,-91.23676997,Private School,"1319 Ferry St, La Crosse, WI 54601",0,
0000_0307,Catholic Central High School,42.67505798,-88.2820459,Private School,"148 McHenry St, Burlington, WI 53105",0,
0000_0310,Catholic Memorial High School of Waukesha Inc,43.00220102,-88.219991,Private School,"601 E College Ave, Waukesha, WI 53186",0,
0000_1175,Celebration Lutheran School,44.30265899,-88.36265603,Private School,"3100 E Evergreen Dr, Appleton, WI 54913",0,
8028_8153,Central Sands Community High School,44.47161201,-89.375302,Public Charter School,"3995 County Rd K, Amherst, WI 54406",0,
0000_8650,Central Wisconsin Christian School,43.62812601,-88.753129,Private School,"301 Fox Lake Rd, Waupun, WI 53963",0,
0000_1734,Chesterton Academy of Milwaukee Inc,43.15298001,-88.07973402,Private School,"N74W13646 Appleton Ave, Menomonee Falls, WI 53051",0,
0000_0330,Chilton Area Catholic School,44.03008913,-88.16249357,Private School,"60 E Washington St, Chilton, WI 53014",0,
0000_0280,Christ Alone Lutheran School,43.22600198,-87.98525698,Private School,"110 Division St, Thiensville, WI 53092",0,
0000_0346,Christ Child Academy,43.72487999,-87.722776,Private School,"2722 Henry St, Sheboygan, WI 53081",0,
0000_0365,Christ Lutheran School,42.88218,-88.20808996,Private School,"W229S8930 Clark St, Big Bend, WI 53103",0,
0000_0430,Columbus Catholic High,44.66412702,-90.19346099,Private School,"710 S Columbus Ave, Marshfield, WI 54449",0,
0000_1031,Columbus Catholic Middle,44.66412702,-90.19346099,Private School,"710 S Columbus Ave, Marshfield, WI 54449",0,
0000_1615,Community Christian School of Baraboo,43.52177101,-89.69242401,Private School,"E12654 County Road T, Baraboo, WI 53913",0,
0000_0441,Concordia Lutheran School,42.69878798,-87.88964201,Private School,"8500 Durand Ave, Sturtevant, WI 53177",0,
0000_0436,Coulee Christian School,43.89973999,-91.08375104,Private School,"230 W Garland St, West Salem, WI 54669",0,
0000_1928,Coulee Christian School,43.91199999,-91.24205803,Private School,"123 Mason St, Onalaska, WI 54650",0,
0000_1784,Crown of Life Christian Academy,42.936908,-88.86899598,Private School,"535 Berea Dr, Fort Atkinson, WI 53538",0,
0000_0469,Crown of Life Evangelical Lutheran School,43.23627861,-88.2453331,Private School,"1292 Tally Ho Trl, Hubertus, WI 53033",0,
0000_0470,David's Star Lutheran School,43.28811176,-88.10729296,Private School,"2740 Davids Star Dr, Jackson, WI 53037",0,
3381_0450,Destinations Career Academy of Wisconsin High,43.01470099,-89.30033702,Public Charter School,"4721 Dale-Curtin Dr, McFarland, WI 53558",0,
0000_7870,Divine Mercy School,42.92936999,-87.85596503,Private School,"695 College Ave, South Milwaukee, WI 53172",0,
0000_0500,Divine Redeemer Lutheran School,43.10453898,-88.37042697,Private School,"31385 W Hill Rd, Hartland, WI 53029",0,
0000_8310,Divine Savior Catholic School,43.91210401,-88.035508,Private School,"423 Fremont St, Kiel, WI 53042",0,
0000_0530,Dominican High School,43.11864544,-87.90981194,Private School,"120 E Silver Spring Dr, Whitefish Bay, WI 53217",0,
0000_0550,Eastside Evangelical Lutheran Elementary,43.12911401,-89.31160003,Private School,"2310 Independence Ln, Madison, WI 53704",0,
0000_0604,Emanuel Lutheran School,44.38519899,-88.73794199,Private School,"200 East Quincy St, New London, WI 54961",0,
0000_1681,EverGreen Academy,42.68145999,-87.81914702,Private School,"3351 Chicory Rd, Mount Pleasant, WI 53403",0,
3983_0400,Exploration Charter High School,43.81233899,-88.487179,Public Charter School,"325 McKinley St, North Fond du Lac, WI 54937",0,
0000_1523,Faith Christian Academy,44.96189006,-89.67024943,Private School,"225 S 28th Ave, Wausau, WI 54401",0,
0000_0647,Faith Christian School,45.064661,-88.03874199,Private School,"233 W Main St, Coleman, WI 54112",0,
0000_0646,Faith Christian School,42.57343302,-88.57159097,Private School,"W5525 State Hwy 67, Williams Bay, WI 53191",0,
0000_0652,Faith Lutheran School,43.77954098,-88.41098398,Private School,"55 Prairie Rd, Fond du Lac, WI 54935",0,
0000_2443,Father Allouez Catholic School: GRACE,44.45951399,-88.030964,Private School,"333 Hilltop Dr, Green Bay, WI 54301",0,
0000_0662,First Evangelical Lutheran School,42.66553898,-88.553648,Private School,"415 Devendorf St, Elkhorn, WI 53121",0,
0000_0675,First Evangelical Lutheran School,42.60467799,-88.44077997,Private School,"1101 Logan St, Lake Geneva, WI 53147",0,
0000_0670,First Evangelical Lutheran School,43.80617599,-91.23972401,Private School,"520 West Ave S, La Crosse, WI 54601",0,
0000_0680,First German Evangelical Lutheran Grade School,44.08739601,-87.65730102,Private School,"1025 S 8th St, Manitowoc, WI 54220",0,
0000_0690,First Immanuel Lutheran School,43.29864299,-87.99338902,Private School,"W67N622 Evergreen Blvd, Cedarburg, WI 53012",0,
0000_8260,Fond du Lac Christian School,43.76169201,-88.41931099,Private School,"720 Rienzi Rd, Fond du Lac, WI 54935",0,
0000_0700,Fox Valley Lutheran High School,44.31796301,-88.39333698,Private School,"5300 N Meade St, Appleton, WI 54913",0,
0000_0780,Good Shepherd Evangelical Lutheran School,43.41279127,-88.17272143,Private School,"777 S Indiana Ave, West Bend, WI 53095",0,
0000_0768,Good Shepherd Lutheran School,43.19105699,-88.69866004,Private School,"1611 E Main St, Watertown, WI 53094",0,
0000_1088,Grace Christian Academy,42.991627,-88.01890202,Private School,"8420 W Beloit Rd, West Allis, WI 53227",0,
0000_0830,Grace Lutheran School,44.00984898,-88.54082796,Private School,"913 Nebraska St, Oshkosh, WI 54902",0,
0000_0818,Grace Lutheran School,43.17683801,-88.11119197,Private School,"N87W16173 Kenwood Blvd, Menomonee Falls, WI 53051",0,
0000_0825,Grace Lutheran School,42.88924599,-87.88375297,Private School,"8537 S Pennsylvania Ave, Oak Creek, WI 53154",0,
0000_8120,Green Bay Adventist Junior Academy,44.528372,-88.05307001,Private School,"1422 Shawano Ave, Green Bay, WI 54303",0,
0000_1371,Green Bay Trinity Lutheran School,44.50152401,-87.97883996,Private School,"120 S Henry St, Green Bay, WI 54302",0,
0000_1731,Guidance Academy,42.91284775,-87.87321537,Private School,"1800 16th Ave, South Milwaukee, WI 53172",0,
