dpi_true_id,school_name,lat,long,accurate_agency_type,address,milwaukee_indicator,cfc_school
8013_8129,Milwaukee Scholars Charter School,43.127725004744,-87.998962983489,Public Charter School,"7000 W Florist Ave, Milwaukee, WI 53218",1,
0000_1873,Milwaukee Seventh Day Adventist School,43.13477799908,-88.047805003844,Private School,"10900 W Mill Rd, Milwaukee, WI 53225",1,
0000_1910,Mother of Good Counsel School,43.074138994829,-87.997811980544,Private School,"3001 N 68th St, Milwaukee, WI 53210",1,
0000_1930,Mount Calvary Lutheran School,43.071154995389,-87.979409009209,Private School,"2862 N 53rd St, Milwaukee, WI 53210",1,
0000_1980,Mount Lebanon Lutheran School,43.10520899161,-87.988256024191,Private School,"6100 W Hampton Ave, Milwaukee, WI 53218",1,
0000_1990,Mount Olive Christian Day School,43.052443989111,-87.980526987454,Private School,"5301 W Washington Blvd, Milwaukee, WI 53208",1,
0000_1996,Nativity Jesuit Academy,43.015589012306,-87.951083959989,Private School,"1515 S 29th St, Milwaukee, WI 53215",1,
0000_1327,New Testament Christian Academy,43.162021992338,-88.037252020108,Private School,"10201 W Bradley Rd, Milwaukee, WI 53224",1,
0000_1575,Northwest Catholic School,43.147499003982,-87.962677976099,Private School,"7140 N 41st St, Milwaukee, WI 53209",1,
0000_2030,Northwest Lutheran School,43.091975014234,-88.014391971759,Private School,"4119 N 81st St, Milwaukee, WI 53222",1,
0000_1095,Notre Dame School of Milwaukee,43.019396994738,-87.929808007521,Private School,"1420 W Scott St, Milwaukee, WI 53204",1,
0000_1931,Notre Dame School of Milwaukee,43.018336013434,-87.970407012836,Private School,"1215 S 45th St, West Milwaukee, WI 53214",1,
0000_2240,Our Lady Queen of Peace,42.986296020907,-87.950016021705,Private School,"2733 W Euclid Ave, Milwaukee, WI 53215",1,
8017_8139,Pathways High,43.039333016164,-87.952325990401,Public Charter School,"3022 W Wisconsin Ave, Milwaukee, WI 53208",1,
0000_2291,Pilgrim Lutheran School,43.06781598044,-87.996927019207,Private School,"6717 W Center St, Wauwatosa, WI 53210",1,
0000_2300,Pius XI Catholic High School,43.031947008815,-88.008536038924,Private School,"135 N 76th St, Milwaukee, WI 53213",1,
0000_1205,Prince of Peace,43.019818981653,-87.944614974756007,Private School,"1114 S 25th St, Milwaukee, WI 53204",1,
0000_1530,Right Step Inc,43.084288012741,-87.967866960898,Private School,"3725 N Sherman Blvd, Milwaukee, WI 53216",1,
0000_1351,Risen Savior Lutheran School,43.178636014079,-88.029681988074,Private School,"9550 W Brown Deer Rd, Milwaukee, WI 53224",1,
